rank,date,season,name,mlbam,team,opponent,game,game_pk,game_date,game_status,venue,home_away,is_home,pitcher,probable_pitcher,opposing_pitcher,pitcher_mlbam,pitcher_hand,opponent_probable_pitcher,opponent_probable_pitcher_mlbam,team_probable_pitcher,team_probable_pitcher_mlbam,odds,book,implied,score,statcast,barrel_pct,hard_hit_pct,avg_ev,xslg,xwoba,launch_angle,raw_team,raw_game,odds_source_row,weather_boost,weather_match,weather_temp,weather_wind,weather_wind_deg,weather_desc,weather_park,trend,trend_score,hot_score,l5_games,l10_games,l15_games,l5_hr,l10_hr,l15_hr,l5_hits,l10_hits,l5_tb,l10_tb,l5_tbpg,l10_tbpg,l5_hitpg,l10_hitpg,l5_papg,l10_papg,trend_last_game,trend_match_type,pitcher_team,pitcher_status,pitcher_gs,pitcher_ip,pitcher_era,pitcher_whip,pitcher_xfip,pitcher_team_so,pitcher_last3,pitcher_k9,pitcher_bb9,pitcher_hr9,pitcher_attack_score,pitcher_attack_tag,pAtk,pitcher_match_type,park,ballpark,home_team,hr_park_score,parkScore,park_score,park_label,park_note,park_match_type
36,2026-05-13,2026,Nick Fortes,,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,822815,2026-05-13T23:07:00Z,Scheduled,Rogers Centre,away,0,Dylan Cease,Dylan Cease,Dylan Cease,656302,R,Dylan Cease,656302,Griffin Jax,643377,1120,DraftKings,8.20,42.11,missing,,,,,,,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,"{""player"":""Nick Fortes"",""player_key"":""nick fortes"",""team"":""Tampa Bay Rays"",""team_key"":""tampa bay rays"",""game"":""Tampa Bay Rays @ Toronto Blue Jays"",""game_key"":""tampa bay rays @ toronto blue jays"",""market"":""HR"",""line"":""0.5"",""odds"":""1120"",""book"":""DraftKings"",""consensus_odds"":""1060"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+1120 | FanDuel:+1120 | BetMGM:+1000 | Caesars:+950"",""raw_books_seen"":""DraftKings:+1120 | FanDuel:+1120 | BetMGM:+1000 | Caesars:+950 | BetMGM:+900 | DraftKings:+820 | FanDuel:+820 | Caesars:+750 | DraftKings:+1120"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Toronto Blue Jays,probable,8,45.3,2.58,1.24,2.77,6.99,3.20,13.10,3.57,0.20,16.95,AVOID,16.95,MATCH,Rogers Centre,Rogers Centre,Toronto Blue Jays,62.00,62.00,62.00,BOOST,Good HR park,MATCH
37,2026-05-13,2026,Brett Baty,,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,823631,2026-05-13T23:10:00Z,Scheduled,Citi Field,home,1,Framber Valdez,Framber Valdez,Framber Valdez,664285,L,Framber Valdez,664285,Christian Scott,681035,1120,DraftKings,8.20,42.11,missing,,,,,,,New York Mets,Detroit Tigers @ New York Mets,"{""player"":""Brett Baty"",""player_key"":""brett baty"",""team"":""New York Mets"",""team_key"":""new york mets"",""game"":""Detroit Tigers @ New York Mets"",""game_key"":""detroit tigers @ new york mets"",""market"":""HR"",""line"":""0.5"",""odds"":""1120"",""book"":""DraftKings"",""consensus_odds"":""1040"",""trusted_books_count"":""3"",""trusted_books"":""DraftKings:+1120 | FanDuel:+1040 | Caesars:+950"",""raw_books_seen"":""DraftKings:+1120 | FanDuel:+1040 | Caesars:+950 | DraftKings:+1120"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Detroit Tigers,probable,8,43.3,4.57,1.41,4.84,7.88,7.43,7.27,3.12,1.04,59.25,LIVE,59.25,MATCH,Citi Field,Citi Field,New York Mets,43.00,43.00,43.00,NEUTRAL,Slight suppressor,MATCH
38,2026-05-13,2026,Leody Taveras,,Baltimore Orioles,New York Yankees,New York Yankees @ Baltimore Orioles,824841,2026-05-13T17:05:00Z,Scheduled,Oriole Park at Camden Yards,home,1,Max Fried,Max Fried,Max Fried,608331,L,Max Fried,608331,Kyle Bradish,680694,1080,DraftKings,8.47,41.99,missing,,,,,,,Baltimore Orioles,New York Yankees @ Baltimore Orioles,"{""player"":""Leody Taveras"",""player_key"":""leody taveras"",""team"":""Baltimore Orioles"",""team_key"":""baltimore orioles"",""game"":""New York Yankees @ Baltimore Orioles"",""game_key"":""new york yankees @ baltimore orioles"",""market"":""HR"",""line"":""0.5"",""odds"":""1080"",""book"":""DraftKings"",""consensus_odds"":""1030"",""trusted_books_count"":""2"",""trusted_books"":""DraftKings:+1080 | FanDuel:+980"",""raw_books_seen"":""DraftKings:+1080 | FanDuel:+980"",""removed_outliers"":""0"",""odds_quality"":""USABLE_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,New York Yankees,probable,9,58.7,2.91,0.95,3.73,9.30,4.15,7.36,2.76,0.15,14.03,AVOID,14.03,MATCH,Camden Yards,Camden Yards,Baltimore Orioles,42.00,42.00,42.00,NEUTRAL,Slight HR suppressor,MATCH
39,2026-05-13,2026,Carlos Narváez,,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,824763,2026-05-13T22:45:00Z,Scheduled,Fenway Park,home,1,Andrew Painter,Andrew Painter,Andrew Painter,691725,R,Andrew Painter,691725,Sonny Gray,543243,1060,DraftKings,8.62,41.92,missing,,,,,,,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,"{""player"":""Carlos Narváez"",""player_key"":""carlos narvaez"",""team"":""Boston Red Sox"",""team_key"":""boston red sox"",""game"":""Philadelphia Phillies @ Boston Red Sox"",""game_key"":""philadelphia phillies @ boston red sox"",""market"":""HR"",""line"":""0.5"",""odds"":""1060"",""book"":""DraftKings"",""consensus_odds"":""995"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+1060 | FanDuel:+1040 | Caesars:+950 | BetMGM:+775"",""raw_books_seen"":""DraftKings:+1060 | FanDuel:+1040 | Caesars:+950 | BetMGM:+775 | BetMGM:+750 | Caesars:+700 | DraftKings:+680 | FanDuel:+650 | DraftKings:+1060"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Philadelphia Phillies,probable,6,32.7,6.89,1.71,5.29,8.44,10.05,8.27,3.31,1.65,86.72,ATTACK,86.72,MATCH,Fenway Park,Fenway Park,Boston Red Sox,52.00,52.00,52.00,NEUTRAL,Neutral HR environment,MATCH
40,2026-05-13,2026,Ryan Vilade,,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,822815,2026-05-13T23:07:00Z,Scheduled,Rogers Centre,away,0,Dylan Cease,Dylan Cease,Dylan Cease,656302,R,Dylan Cease,656302,Griffin Jax,643377,1060,DraftKings,8.62,41.92,missing,,,,,,,Tampa Bay Rays,Tampa Bay Rays @ Boston Red Sox,"{""player"":""Ryan Vilade"",""player_key"":""ryan vilade"",""team"":""Tampa Bay Rays"",""team_key"":""tampa bay rays"",""game"":""Tampa Bay Rays @ Boston Red Sox"",""game_key"":""tampa bay rays @ boston red sox"",""market"":""HR"",""line"":""0.5"",""odds"":""1060"",""book"":""DraftKings"",""consensus_odds"":""1045"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+1060 | BetMGM:+1050 | FanDuel:+1040 | Caesars:+950"",""raw_books_seen"":""DraftKings:+1060 | BetMGM:+1050 | FanDuel:+1040 | Caesars:+950 | DraftKings:+1060"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Toronto Blue Jays,probable,8,45.3,2.58,1.24,2.77,6.99,3.20,13.10,3.57,0.20,16.95,AVOID,16.95,MATCH,Rogers Centre,Rogers Centre,Toronto Blue Jays,62.00,62.00,62.00,BOOST,Good HR park,MATCH
41,2026-05-13,2026,Oswald Peraza,,Los Angeles Angels,Cleveland Guardians,Los Angeles Angels @ Cleveland Guardians,824438,2026-05-13T17:10:00Z,Scheduled,Progressive Field,away,0,Parker Messick,Parker Messick,Parker Messick,800048,L,Parker Messick,800048,Reid Detmers,672282,1050,BetMGM,8.70,41.89,missing,,,,,,,Los Angeles Angels,Los Angeles Angels @ Cleveland Guardians,"{""player"":""Oswald Peraza"",""player_key"":""oswald peraza"",""team"":""Los Angeles Angels"",""team_key"":""los angeles angels"",""game"":""Los Angeles Angels @ Cleveland Guardians"",""game_key"":""los angeles angels @ cleveland guardians"",""market"":""HR"",""line"":""0.5"",""odds"":""1050"",""book"":""BetMGM"",""consensus_odds"":""915"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+1050 | FanDuel:+920 | DraftKings:+910 | Caesars:+850"",""raw_books_seen"":""BetMGM:+1050 | FanDuel:+920 | DraftKings:+910 | Caesars:+850 | BetMGM:+1050"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Cleveland Guardians,probable,8,47.0,2.30,0.98,3.14,9.64,3.31,9.77,2.11,0.77,12.84,AVOID,12.84,MATCH,Progressive Field,Progressive Field,Cleveland Guardians,47.00,47.00,47.00,NEUTRAL,Neutral to slight suppressor,MATCH
42,2026-05-13,2026,Vidal Bruján,,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,823631,2026-05-13T23:10:00Z,Scheduled,Citi Field,home,1,Framber Valdez,Framber Valdez,Framber Valdez,664285,L,Framber Valdez,664285,Christian Scott,681035,1050,BetMGM,8.70,41.89,missing,,,,,,,New York Mets,Detroit Tigers @ New York Mets,"{""player"":""Vidal Bruján"",""player_key"":""vidal brujan"",""team"":""New York Mets"",""team_key"":""new york mets"",""game"":""Detroit Tigers @ New York Mets"",""game_key"":""detroit tigers @ new york mets"",""market"":""HR"",""line"":""0.5"",""odds"":""1050"",""book"":""BetMGM"",""consensus_odds"":""1000"",""trusted_books_count"":""3"",""trusted_books"":""BetMGM:+1050 | DraftKings:+1000 | Caesars:+950"",""raw_books_seen"":""BetMGM:+1050 | DraftKings:+1000 | Caesars:+950"",""removed_outliers"":""0"",""odds_quality"":""NORMAL_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Detroit Tigers,probable,8,43.3,4.57,1.41,4.84,7.88,7.43,7.27,3.12,1.04,59.25,LIVE,59.25,MATCH,Citi Field,Citi Field,New York Mets,43.00,43.00,43.00,NEUTRAL,Slight suppressor,MATCH
43,2026-05-13,2026,Masataka Yoshida,,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,824763,2026-05-13T22:45:00Z,Scheduled,Fenway Park,home,1,Andrew Painter,Andrew Painter,Andrew Painter,691725,R,Andrew Painter,691725,Sonny Gray,543243,1040,DraftKings,8.77,41.85,missing,,,,,,,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,"{""player"":""Masataka Yoshida"",""player_key"":""masataka yoshida"",""team"":""Boston Red Sox"",""team_key"":""boston red sox"",""game"":""Philadelphia Phillies @ Boston Red Sox"",""game_key"":""philadelphia phillies @ boston red sox"",""market"":""HR"",""line"":""0.5"",""odds"":""1040"",""book"":""DraftKings"",""consensus_odds"":""928"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+1040 | FanDuel:+980 | BetMGM:+875 | Caesars:+850"",""raw_books_seen"":""DraftKings:+1040 | FanDuel:+980 | DraftKings:+930 | FanDuel:+920 | BetMGM:+875 | Caesars:+850 | Caesars:+850 | BetMGM:+800 | DraftKings:+1040"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Philadelphia Phillies,probable,6,32.7,6.89,1.71,5.29,8.44,10.05,8.27,3.31,1.65,86.72,ATTACK,86.72,MATCH,Fenway Park,Fenway Park,Boston Red Sox,52.00,52.00,52.00,NEUTRAL,Neutral HR environment,MATCH
44,2026-05-13,2026,Freddy Fermin,,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,823791,2026-05-13T23:40:00Z,Scheduled,American Family Field,away,0,Jacob Misiorowski,Jacob Misiorowski,Jacob Misiorowski,694819,R,Jacob Misiorowski,694819,Michael King,650633,1040,DraftKings,8.77,41.85,missing,,,,,,,San Diego Padres,San Diego Padres @ Milwaukee Brewers,"{""player"":""Freddy Fermin"",""player_key"":""freddy fermin"",""team"":""San Diego Padres"",""team_key"":""san diego padres"",""game"":""San Diego Padres @ Milwaukee Brewers"",""game_key"":""san diego padres @ milwaukee brewers"",""market"":""HR"",""line"":""0.5"",""odds"":""1040"",""book"":""DraftKings"",""consensus_odds"":""990"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+1040 | BetMGM:+1000 | FanDuel:+980 | Caesars:+950"",""raw_books_seen"":""DraftKings:+1040 | BetMGM:+1000 | FanDuel:+980 | Caesars:+950"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Milwaukee Brewers,probable,8,44.0,2.45,0.95,2.33,8.66,1.56,14.32,3.48,0.82,13.01,AVOID,13.01,MATCH,American Family Field,American Family Field,Milwaukee Brewers,65.00,65.00,65.00,BOOST,Good HR park,MATCH
45,2026-05-13,2026,Garrett Mitchell,,Milwaukee Brewers,San Diego Padres,San Diego Padres @ Milwaukee Brewers,823791,2026-05-13T23:40:00Z,Scheduled,American Family Field,home,1,Michael King,Michael King,Michael King,650633,R,Michael King,650633,Jacob Misiorowski,694819,1000,BetMGM,9.09,41.71,missing,,,,,,,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,"{""player"":""Garrett Mitchell"",""player_key"":""garrett mitchell"",""team"":""Milwaukee Brewers"",""team_key"":""milwaukee brewers"",""game"":""San Diego Padres @ Milwaukee Brewers"",""game_key"":""san diego padres @ milwaukee brewers"",""market"":""HR"",""line"":""0.5"",""odds"":""1000"",""book"":""BetMGM"",""consensus_odds"":""850"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+1000 | FanDuel:+880 | DraftKings:+820 | Caesars:+750"",""raw_books_seen"":""BetMGM:+1000 | FanDuel:+880 | DraftKings:+820 | DraftKings:+750 | Caesars:+750 | FanDuel:+680 | Caesars:+625 | BetMGM:+625 | BetMGM:+1000"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,San Diego Padres,probable,8,45.7,2.76,1.05,4.12,7.75,3.50,8.87,3.94,0.79,27.61,AVOID,27.61,MATCH,American Family Field,American Family Field,Milwaukee Brewers,65.00,65.00,65.00,BOOST,Good HR park,MATCH
46,2026-05-13,2026,Jung Hoo Lee,,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,823952,2026-05-14T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,away,0,Shohei Ohtani,Shohei Ohtani,Shohei Ohtani,660271,R,Shohei Ohtani,660271,Robbie Ray,592662,1000,DraftKings,9.09,41.71,missing,,,,,,,San Francisco Giants,San Francisco Giants @ Los Angeles Dodgers,"{""player"":""Jung Hoo Lee"",""player_key"":""jung hoo lee"",""team"":""San Francisco Giants"",""team_key"":""san francisco giants"",""game"":""San Francisco Giants @ Los Angeles Dodgers"",""game_key"":""san francisco giants @ los angeles dodgers"",""market"":""HR"",""line"":""0.5"",""odds"":""1000"",""book"":""DraftKings"",""consensus_odds"":""915"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+1000 | FanDuel:+980 | Caesars:+850 | BetMGM:+800"",""raw_books_seen"":""DraftKings:+1000 | FanDuel:+980 | Caesars:+850 | BetMGM:+800"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Los Angeles Dodgers,probable,6,37.0,0.97,0.81,2.71,8.11,1.42,10.22,2.19,0.49,3.55,AVOID,3.55,MATCH,Dodger Stadium,Dodger Stadium,Los Angeles Dodgers,52.00,52.00,52.00,SLIGHT_BOOST,Slight HR boost,MATCH
47,2026-05-13,2026,Nathan Church,,St. Louis Cardinals,Athletics,St. Louis Cardinals @ Athletics,825010,2026-05-14T01:40:00Z,Scheduled,Sutter Health Park,away,0,J.T. Ginn,J.T. Ginn,J.T. Ginn,669372,R,J.T. Ginn,669372,Matthew Liberatore,669461,1000,BetMGM,9.09,41.71,missing,,,,,,,St. Louis Cardinals,St. Louis Cardinals @ Athletics,"{""player"":""Nathan Church"",""player_key"":""nathan church"",""team"":""St Louis Cardinals"",""team_key"":""st louis cardinals"",""game"":""St. Louis Cardinals @ Athletics"",""game_key"":""st louis cardinals @ athletics"",""market"":""HR"",""line"":""0.5"",""odds"":""1000"",""book"":""BetMGM"",""consensus_odds"":""930"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+1000 | DraftKings:+980 | FanDuel:+880 | Caesars:+850"",""raw_books_seen"":""BetMGM:+1000 | DraftKings:+980 | FanDuel:+880 | Caesars:+850 | DraftKings:+790 | FanDuel:+790 | Caesars:+625 | BetMGM:+525 | BetMGM:+1000"",""removed_outliers"":""5"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Athletics,probable,6,37.3,3.62,1.13,4.68,8.28,3.45,7.47,3.62,1.21,43.55,NEUTRAL,43.55,MATCH,Sutter Health Park,Sutter Health Park,Athletics,55.00,55.00,55.00,NEUTRAL,Neutral,MATCH
48,2026-05-13,2026,J.T. Realmuto,,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,824763,2026-05-13T22:45:00Z,Scheduled,Fenway Park,away,0,Sonny Gray,Sonny Gray,Sonny Gray,543243,R,Sonny Gray,543243,Andrew Painter,691725,1000,DraftKings,9.09,41.71,missing,,,,,,,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,"{""player"":""J.T. Realmuto"",""player_key"":""jt realmuto"",""team"":""Philadelphia Phillies"",""team_key"":""philadelphia phillies"",""game"":""Philadelphia Phillies @ Boston Red Sox"",""game_key"":""philadelphia phillies @ boston red sox"",""market"":""HR"",""line"":""0.5"",""odds"":""1000"",""book"":""DraftKings"",""consensus_odds"":""965"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+1000 | FanDuel:+980 | Caesars:+950 | BetMGM:+725"",""raw_books_seen"":""DraftKings:+1000 | FanDuel:+980 | Caesars:+950 | BetMGM:+725 | DraftKings:+1000"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Boston Red Sox,probable,6,28.0,3.54,1.29,5.05,7.95,4.63,4.82,2.25,0.96,44.83,NEUTRAL,44.83,MATCH,Fenway Park,Fenway Park,Boston Red Sox,52.00,52.00,52.00,NEUTRAL,Neutral HR environment,MATCH
49,2026-05-13,2026,Sung-Mun Song,,San Diego Padres,Milwaukee Brewers,San Diego Padres @ Milwaukee Brewers,823791,2026-05-13T23:40:00Z,Scheduled,American Family Field,away,0,Jacob Misiorowski,Jacob Misiorowski,Jacob Misiorowski,694819,R,Jacob Misiorowski,694819,Michael King,650633,1000,BetMGM,9.09,41.71,missing,,,,,,,San Diego Padres,San Diego Padres @ Milwaukee Brewers,"{""player"":""Sung-Mun Song"",""player_key"":""sung mun song"",""team"":""San Diego Padres"",""team_key"":""san diego padres"",""game"":""San Diego Padres @ Milwaukee Brewers"",""game_key"":""san diego padres @ milwaukee brewers"",""market"":""HR"",""line"":""0.5"",""odds"":""1000"",""book"":""BetMGM"",""consensus_odds"":""965"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+1000 | DraftKings:+980 | Caesars:+950 | FanDuel:+920"",""raw_books_seen"":""BetMGM:+1000 | DraftKings:+980 | Caesars:+950 | FanDuel:+920"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Milwaukee Brewers,probable,8,44.0,2.45,0.95,2.33,8.66,1.56,14.32,3.48,0.82,13.01,AVOID,13.01,MATCH,American Family Field,American Family Field,Milwaukee Brewers,65.00,65.00,65.00,BOOST,Good HR park,MATCH
50,2026-05-13,2026,Geraldo Perdomo,,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,822900,2026-05-14T00:05:00Z,Scheduled,Globe Life Field,away,0,Kumar Rocker,Kumar Rocker,Kumar Rocker,677958,R,Kumar Rocker,677958,Ryne Nelson,669194,1000,DraftKings,9.09,41.71,missing,,,,,,,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,"{""player"":""Geraldo Perdomo"",""player_key"":""geraldo perdomo"",""team"":""Arizona Diamondbacks"",""team_key"":""arizona diamondbacks"",""game"":""Arizona Diamondbacks @ Texas Rangers"",""game_key"":""arizona diamondbacks @ texas rangers"",""market"":""HR"",""line"":""0.5"",""odds"":""1000"",""book"":""DraftKings"",""consensus_odds"":""980"",""trusted_books_count"":""3"",""trusted_books"":""DraftKings:+1000 | FanDuel:+980 | Caesars:+950"",""raw_books_seen"":""DraftKings:+1000 | FanDuel:+980 | Caesars:+950 | DraftKings:+1000"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Texas Rangers,probable,7,32.3,5.01,1.52,5.11,8.16,7.71,7.52,3.62,1.11,68.56,LIVE,68.56,MATCH,Globe Life Field,Globe Life Field,Texas Rangers,56.00,56.00,56.00,SLIGHT_BOOST,Slight HR boost,MATCH
51,2026-05-13,2026,Jake Fraley,,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,822815,2026-05-13T23:07:00Z,Scheduled,Rogers Centre,away,0,Dylan Cease,Dylan Cease,Dylan Cease,656302,R,Dylan Cease,656302,Griffin Jax,643377,990,DraftKings,9.17,41.67,missing,,,,,,,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,"{""player"":""Jake Fraley"",""player_key"":""jake fraley"",""team"":""Tampa Bay Rays"",""team_key"":""tampa bay rays"",""game"":""Tampa Bay Rays @ Toronto Blue Jays"",""game_key"":""tampa bay rays @ toronto blue jays"",""market"":""HR"",""line"":""0.5"",""odds"":""990"",""book"":""DraftKings"",""consensus_odds"":""835"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+990 | FanDuel:+920 | Caesars:+750 | BetMGM:+725"",""raw_books_seen"":""DraftKings:+990 | FanDuel:+920 | Caesars:+750 | BetMGM:+725 | DraftKings:+990"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Toronto Blue Jays,probable,8,45.3,2.58,1.24,2.77,6.99,3.20,13.10,3.57,0.20,16.95,AVOID,16.95,MATCH,Rogers Centre,Rogers Centre,Toronto Blue Jays,62.00,62.00,62.00,BOOST,Good HR park,MATCH
52,2026-05-13,2026,Jonny DeLuca,,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays @ Toronto Blue Jays,822815,2026-05-13T23:07:00Z,Scheduled,Rogers Centre,away,0,Dylan Cease,Dylan Cease,Dylan Cease,656302,R,Dylan Cease,656302,Griffin Jax,643377,990,DraftKings,9.17,41.67,missing,,,,,,,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,"{""player"":""Jonny DeLuca"",""player_key"":""jonny deluca"",""team"":""Tampa Bay Rays"",""team_key"":""tampa bay rays"",""game"":""Tampa Bay Rays @ Toronto Blue Jays"",""game_key"":""tampa bay rays @ toronto blue jays"",""market"":""HR"",""line"":""0.5"",""odds"":""990"",""book"":""DraftKings"",""consensus_odds"":""915"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+990 | FanDuel:+980 | Caesars:+850 | BetMGM:+775"",""raw_books_seen"":""DraftKings:+990 | FanDuel:+980 | FanDuel:+980 | Caesars:+850 | BetMGM:+775"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",0,NO_MATCH,,,,,,NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,Toronto Blue Jays,probable,8,45.3,2.58,1.24,2.77,6.99,3.20,13.10,3.57,0.20,16.95,AVOID,16.95,MATCH,Rogers Centre,Rogers Centre,Toronto Blue Jays,62.00,62.00,62.00,BOOST,Good HR park,MATCH
