rank,date,season,name,mlbam,team,opponent,game,game_pk,game_date,game_status,venue,home_away,is_home,pitcher,probable_pitcher,opposing_pitcher,pitcher_mlbam,pitcher_hand,opponent_probable_pitcher,opponent_probable_pitcher_mlbam,team_probable_pitcher,team_probable_pitcher_mlbam,odds,book,implied,score,statcast,barrel_pct,hard_hit_pct,avg_ev,xslg,xwoba,launch_angle,raw_team,raw_game,odds_source_row,trend,trend_score,hot_score,l5_games,l10_games,l15_games,l5_hr,l10_hr,l15_hr,l5_hits,l10_hits,l5_tb,l10_tb,l5_tbpg,l10_tbpg,l5_hitpg,l10_hitpg,l5_papg,l10_papg,trend_last_game,trend_match_type,weather_boost,weather_match,weather_temp,weather_humidity,weather_wind,weather_wind_deg,weather_desc,weather_label,weather_park,weather_roof_flag,weather_roof_status,vegas_game_total,vegas_total_boost,vegas_total_match,live_slate_status,pitcher_team,pitcher_status,pitcher_gs,pitcher_ip,pitcher_era,pitcher_whip,pitcher_xfip,pitcher_team_so,pitcher_last3,pitcher_k9,pitcher_bb9,pitcher_hr9,pitcher_attack_score,pitcher_attack_tag,pAtk,pitcher_match_type,park,ballpark,home_team,hr_park_score,parkScore,park_score,park_label,park_note,park_match_type
48,2026-05-15,2026,J.P. Crawford,,Seattle Mariners,San Diego Padres,San Diego Padres @ Seattle Mariners,823140,2026-05-16T01:40:00Z,Scheduled,T-Mobile Park,home,1,Randy Vásquez,Randy Vásquez,Randy Vásquez,681190,R,Randy Vásquez,681190,Emerson Hancock,676106,980,FanDuel,9.26,41.63,missing,,,,,,,Seattle Mariners,San Diego Padres @ Seattle Mariners,"{""player"":""J.P. Crawford"",""player_key"":""jp crawford"",""team"":""Seattle Mariners"",""team_key"":""seattle mariners"",""game"":""San Diego Padres @ Seattle Mariners"",""game_key"":""san diego padres @ seattle mariners"",""market"":""HR"",""line"":""0.5"",""odds"":""980"",""book"":""FanDuel"",""consensus_odds"":""925"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+980 | DraftKings:+950 | BetMGM:+900 | Caesars:+850"",""raw_books_seen"":""FanDuel:+980 | DraftKings:+950 | BetMGM:+900 | Caesars:+850"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,0,MATCH,49.2,84,10.4,170,broken clouds,Roof controlled,T-Mobile Park,1,ROOF_OR_RETRACTABLE,,0.0,NO_MATCH,UPCOMING,San Diego Padres,probable,8,44.3,3.05,1.17,3.93,8.99,5.17,8.53,2.64,0.81,31.20,AVOID,31.20,MATCH,T-Mobile Park,T-Mobile Park,Seattle Mariners,45.00,45.00,45.00,NEUTRAL,Slight suppressor,MATCH
49,2026-05-15,2026,Andrés Giménez,,Toronto Blue Jays,Detroit Tigers,Toronto Blue Jays @ Detroit Tigers,824280,2026-05-15T22:45:00Z,Scheduled,Comerica Park,away,0,Ty Madden,Ty Madden,Ty Madden,680744,R,Ty Madden,680744,Trey Yesavage,702056,980,FanDuel,9.26,41.63,missing,,,,,,,Toronto Blue Jays,Toronto Blue Jays @ Detroit Tigers,"{""player"":""Andrés Giménez"",""player_key"":""andres gimenez"",""team"":""Toronto Blue Jays"",""team_key"":""toronto blue jays"",""game"":""Toronto Blue Jays @ Detroit Tigers"",""game_key"":""toronto blue jays @ detroit tigers"",""market"":""HR"",""line"":""0.5"",""odds"":""980"",""book"":""FanDuel"",""consensus_odds"":""930"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+980 | DraftKings:+960 | BetMGM:+900 | Caesars:+850"",""raw_books_seen"":""FanDuel:+980 | DraftKings:+960 | BetMGM:+900 | Caesars:+850"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,-2,MATCH,43.5,88,0.0,0,clear sky,Mild suppress,Comerica Park,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Detroit Tigers,probable,0,11.0,2.45,0.73,2.68,6.87,2.45,9.82,1.64,0.82,9.41,AVOID,9.41,MATCH,Comerica Park,Comerica Park,Detroit Tigers,34.00,34.00,34.00,SUPPRESSOR,HR suppressor,MATCH
50,2026-05-15,2026,Cedric Mullins,,Tampa Bay Rays,Miami Marlins,Miami Marlins @ Tampa Bay Rays,822983,2026-05-15T23:10:00Z,Scheduled,Tropicana Field,home,1,Janson Junk,Janson Junk,Janson Junk,676083,R,Janson Junk,676083,Jesse Scholtens,669947,980,FanDuel,9.26,41.63,missing,,,,,,,Tampa Bay Rays,Miami Marlins @ Tampa Bay Rays,"{""player"":""Cedric Mullins"",""player_key"":""cedric mullins"",""team"":""Tampa Bay Rays"",""team_key"":""tampa bay rays"",""game"":""Miami Marlins @ Tampa Bay Rays"",""game_key"":""miami marlins @ tampa bay rays"",""market"":""HR"",""line"":""0.5"",""odds"":""980"",""book"":""FanDuel"",""consensus_odds"":""940"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+980 | DraftKings:+980 | BetMGM:+900 | Caesars:+850"",""raw_books_seen"":""FanDuel:+980 | DraftKings:+980 | BetMGM:+900 | Caesars:+850 | BetMGM:+725 | DraftKings:+720 | FanDuel:+710 | Caesars:+625"",""removed_outliers"":""4"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,0,MATCH,69.7,86,4.6,20,few clouds,Neutral,George M. Steinbrenner Field,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Miami Marlins,probable,8,44.3,3.25,1.11,4.15,7.09,2.60,6.70,2.03,0.81,23.82,AVOID,23.82,MATCH,George M. Steinbrenner Field,George M. Steinbrenner Field,Tampa Bay Rays,63.00,63.00,63.00,BOOST,HR friendly,MATCH
51,2026-05-15,2026,Jake Fraley,,Tampa Bay Rays,Miami Marlins,Miami Marlins @ Tampa Bay Rays,822983,2026-05-15T23:10:00Z,Scheduled,Tropicana Field,home,1,Janson Junk,Janson Junk,Janson Junk,676083,R,Janson Junk,676083,Jesse Scholtens,669947,970,DraftKings,9.35,41.59,missing,,,,,,,Tampa Bay Rays,Miami Marlins @ Tampa Bay Rays,"{""player"":""Jake Fraley"",""player_key"":""jake fraley"",""team"":""Tampa Bay Rays"",""team_key"":""tampa bay rays"",""game"":""Miami Marlins @ Tampa Bay Rays"",""game_key"":""miami marlins @ tampa bay rays"",""market"":""HR"",""line"":""0.5"",""odds"":""970"",""book"":""DraftKings"",""consensus_odds"":""835"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+970 | FanDuel:+920 | Caesars:+750 | BetMGM:+725"",""raw_books_seen"":""DraftKings:+970 | FanDuel:+920 | Caesars:+750 | BetMGM:+725 | DraftKings:+970"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,0,MATCH,69.7,86,4.6,20,few clouds,Neutral,George M. Steinbrenner Field,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Miami Marlins,probable,8,44.3,3.25,1.11,4.15,7.09,2.60,6.70,2.03,0.81,23.82,AVOID,23.82,MATCH,George M. Steinbrenner Field,George M. Steinbrenner Field,Tampa Bay Rays,63.00,63.00,63.00,BOOST,HR friendly,MATCH
52,2026-05-15,2026,Maikel Garcia,,Kansas City Royals,St. Louis Cardinals,Kansas City Royals @ St. Louis Cardinals,823061,2026-05-16T00:15:00Z,Scheduled,Busch Stadium,away,0,Dustin May,Dustin May,Dustin May,669160,R,Dustin May,669160,Michael Wacha,608379,950,BetMGM,9.52,41.51,missing,,,,,,,Kansas City Royals,Kansas City Royals @ St. Louis Cardinals,"{""player"":""Maikel Garcia"",""player_key"":""maikel garcia"",""team"":""Kansas City Royals"",""team_key"":""kansas city royals"",""game"":""Kansas City Royals @ St. Louis Cardinals"",""game_key"":""kansas city royals @ st louis cardinals"",""market"":""HR"",""line"":""0.5"",""odds"":""950"",""book"":""BetMGM"",""consensus_odds"":""880"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+950 | DraftKings:+880 | FanDuel:+880 | Caesars:+850"",""raw_books_seen"":""BetMGM:+950 | DraftKings:+880 | FanDuel:+880 | Caesars:+850 | BetMGM:+950"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,1,MATCH,60.9,56,9.2,160,overcast clouds,Mild boost,Busch Stadium,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,St. Louis Cardinals,probable,8,42.7,4.85,1.43,4.66,8.24,3.50,6.75,2.32,0.84,46.12,NEUTRAL,46.12,MATCH,Busch Stadium,Busch Stadium,St. Louis Cardinals,40.00,40.00,40.00,SUPPRESSOR,HR suppressor,MATCH
53,2026-05-15,2026,Vaughn Grissom,,Los Angeles Angels,Los Angeles Dodgers,Los Angeles Dodgers @ Los Angeles Angels,824037,2026-05-16T01:38:00Z,Scheduled,Angel Stadium,home,1,Blake Snell,Blake Snell,Blake Snell,605483,L,Blake Snell,605483,Jack Kochanowicz,686799,940,DraftKings,9.62,41.47,missing,,,,,,,Los Angeles Angels,Los Angeles Dodgers @ Los Angeles Angels,"{""player"":""Vaughn Grissom"",""player_key"":""vaughn grissom"",""team"":""Los Angeles Angels"",""team_key"":""los angeles angels"",""game"":""Los Angeles Dodgers @ Los Angeles Angels"",""game_key"":""los angeles dodgers @ los angeles angels"",""market"":""HR"",""line"":""0.5"",""odds"":""940"",""book"":""DraftKings"",""consensus_odds"":""920"",""trusted_books_count"":""3"",""trusted_books"":""DraftKings:+940 | FanDuel:+920 | Caesars:+850"",""raw_books_seen"":""DraftKings:+940 | FanDuel:+920 | Caesars:+850"",""removed_outliers"":""0"",""odds_quality"":""NORMAL_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,0,MATCH,61.4,83,4.0,242,overcast clouds,Neutral,Angel Stadium,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Los Angeles Dodgers,probable,1,3.0,12.00,2.67,4.77,9.74,12.00,15.00,6.00,0.00,65.78,LIVE,65.78,MATCH,Angel Stadium,Angel Stadium,Los Angeles Angels,53.00,53.00,53.00,NEUTRAL,Neutral,MATCH
54,2026-05-15,2026,Mauricio Dubón,,Atlanta Braves,Boston Red Sox,Boston Red Sox @ Atlanta Braves,824925,2026-05-15T23:15:00Z,Scheduled,Truist Park,home,1,Connelly Early,Connelly Early,Connelly Early,813349,L,Connelly Early,813349,Spencer Strider,675911,930,DraftKings,9.71,41.43,missing,,,,,,,Atlanta Braves,Boston Red Sox @ Atlanta Braves,"{""player"":""Mauricio Dubón"",""player_key"":""mauricio dubon"",""team"":""Atlanta Braves"",""team_key"":""atlanta braves"",""game"":""Boston Red Sox @ Atlanta Braves"",""game_key"":""boston red sox @ atlanta braves"",""market"":""HR"",""line"":""0.5"",""odds"":""930"",""book"":""DraftKings"",""consensus_odds"":""910"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+930 | FanDuel:+920 | BetMGM:+900 | Caesars:+850"",""raw_books_seen"":""DraftKings:+930 | FanDuel:+920 | BetMGM:+900 | Caesars:+850"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,-2,MATCH,47.7,83,3.4,40,clear sky,Mild suppress,Truist Park,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Boston Red Sox,probable,8,42.7,3.16,1.22,4.58,7.85,3.57,8.23,3.80,1.05,41.24,NEUTRAL,41.24,MATCH,Truist Park,Truist Park,Atlanta Braves,58.00,58.00,58.00,SLIGHT_BOOST,Slight HR boost,MATCH
55,2026-05-15,2026,Austin Wells,,New York Yankees,New York Mets,New York Yankees @ New York Mets,823629,2026-05-15T23:15:00Z,Scheduled,Citi Field,away,0,Clay Holmes,Clay Holmes,Clay Holmes,605280,R,Clay Holmes,605280,Cam Schlittler,693645,920,FanDuel,9.80,41.39,missing,,,,,,,New York Yankees,New York Yankees @ New York Mets,"{""player"":""Austin Wells"",""player_key"":""austin wells"",""team"":""New York Yankees"",""team_key"":""new york yankees"",""game"":""New York Yankees @ New York Mets"",""game_key"":""new york yankees @ new york mets"",""market"":""HR"",""line"":""0.5"",""odds"":""920"",""book"":""FanDuel"",""consensus_odds"":""810"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+920 | DraftKings:+870 | Caesars:+750 | BetMGM:+650"",""raw_books_seen"":""FanDuel:+920 | DraftKings:+870 | Caesars:+750 | BetMGM:+650 | FanDuel:+920"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,0,MATCH,52.0,75,11.5,300,broken clouds,Neutral,Citi Field,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,New York Mets,probable,8,48.3,1.86,1.01,4.19,8.80,1.47,6.89,2.98,0.56,16.00,AVOID,16.00,MATCH,Citi Field,Citi Field,New York Mets,43.00,43.00,43.00,NEUTRAL,Slight suppressor,MATCH
56,2026-05-15,2026,Spencer Horwitz,,Pittsburgh Pirates,Philadelphia Phillies,Philadelphia Phillies @ Pittsburgh Pirates,823384,2026-05-15T22:40:00Z,Scheduled,PNC Park,home,1,Aaron Nola,Aaron Nola,Aaron Nola,605400,R,Aaron Nola,605400,Braxton Ashcraft,677952,920,FanDuel,9.80,41.39,missing,,,,,,,Pittsburgh Pirates,Philadelphia Phillies @ Pittsburgh Pirates,"{""player"":""Spencer Horwitz"",""player_key"":""spencer horwitz"",""team"":""Pittsburgh Pirates"",""team_key"":""pittsburgh pirates"",""game"":""Philadelphia Phillies @ Pittsburgh Pirates"",""game_key"":""philadelphia phillies @ pittsburgh pirates"",""market"":""HR"",""line"":""0.5"",""odds"":""920"",""book"":""FanDuel"",""consensus_odds"":""880"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+920 | DraftKings:+910 | Caesars:+850 | BetMGM:+800"",""raw_books_seen"":""FanDuel:+920 | DraftKings:+910 | Caesars:+850 | BetMGM:+800 | FanDuel:+920"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,-1,MATCH,43.0,82,6.9,310,clear sky,Mild suppress,PNC Park,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Philadelphia Phillies,probable,8,42.0,5.14,1.48,4.57,8.63,5.28,9.43,3.21,1.50,66.56,LIVE,66.56,MATCH,PNC Park,PNC Park,Pittsburgh Pirates,39.00,39.00,39.00,SUPPRESSOR,HR suppressor,MATCH
57,2026-05-15,2026,Richie Palacios,,Tampa Bay Rays,Miami Marlins,Miami Marlins @ Tampa Bay Rays,822983,2026-05-15T23:10:00Z,Scheduled,Tropicana Field,home,1,Janson Junk,Janson Junk,Janson Junk,676083,R,Janson Junk,676083,Jesse Scholtens,669947,920,FanDuel,9.80,41.39,missing,,,,,,,Tampa Bay Rays,Miami Marlins @ Tampa Bay Rays,"{""player"":""Richie Palacios"",""player_key"":""richie palacios"",""team"":""Tampa Bay Rays"",""team_key"":""tampa bay rays"",""game"":""Miami Marlins @ Tampa Bay Rays"",""game_key"":""miami marlins @ tampa bay rays"",""market"":""HR"",""line"":""0.5"",""odds"":""920"",""book"":""FanDuel"",""consensus_odds"":""893"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+920 | DraftKings:+910 | BetMGM:+875 | Caesars:+850"",""raw_books_seen"":""FanDuel:+920 | DraftKings:+910 | BetMGM:+875 | Caesars:+850"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,0,MATCH,69.7,86,4.6,20,few clouds,Neutral,George M. Steinbrenner Field,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Miami Marlins,probable,8,44.3,3.25,1.11,4.15,7.09,2.60,6.70,2.03,0.81,23.82,AVOID,23.82,MATCH,George M. Steinbrenner Field,George M. Steinbrenner Field,Tampa Bay Rays,63.00,63.00,63.00,BOOST,HR friendly,MATCH
58,2026-05-15,2026,Anthony Volpe,,New York Yankees,New York Mets,New York Yankees @ New York Mets,823629,2026-05-15T23:15:00Z,Scheduled,Citi Field,away,0,Clay Holmes,Clay Holmes,Clay Holmes,605280,R,Clay Holmes,605280,Cam Schlittler,693645,920,FanDuel,9.80,41.39,missing,,,,,,,New York Yankees,New York Yankees @ New York Mets,"{""player"":""Anthony Volpe"",""player_key"":""anthony volpe"",""team"":""New York Yankees"",""team_key"":""new york yankees"",""game"":""New York Yankees @ New York Mets"",""game_key"":""new york yankees @ new york mets"",""market"":""HR"",""line"":""0.5"",""odds"":""920"",""book"":""FanDuel"",""consensus_odds"":""880"",""trusted_books_count"":""3"",""trusted_books"":""FanDuel:+920 | DraftKings:+880 | Caesars:+850"",""raw_books_seen"":""FanDuel:+920 | DraftKings:+880 | Caesars:+850 | FanDuel:+920"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,0,MATCH,52.0,75,11.5,300,broken clouds,Neutral,Citi Field,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,New York Mets,probable,8,48.3,1.86,1.01,4.19,8.80,1.47,6.89,2.98,0.56,16.00,AVOID,16.00,MATCH,Citi Field,Citi Field,New York Mets,43.00,43.00,43.00,NEUTRAL,Slight suppressor,MATCH
59,2026-05-15,2026,Miguel Andujar,,San Diego Padres,Seattle Mariners,San Diego Padres @ Seattle Mariners,823140,2026-05-16T01:40:00Z,Scheduled,T-Mobile Park,away,0,Emerson Hancock,Emerson Hancock,Emerson Hancock,676106,R,Emerson Hancock,676106,Randy Vásquez,681190,900,DraftKings,10.00,41.30,missing,,,,,,,San Diego Padres,San Diego Padres @ Seattle Mariners,"{""player"":""Miguel Andujar"",""player_key"":""miguel andujar"",""team"":""San Diego Padres"",""team_key"":""san diego padres"",""game"":""San Diego Padres @ Seattle Mariners"",""game_key"":""san diego padres @ seattle mariners"",""market"":""HR"",""line"":""0.5"",""odds"":""900"",""book"":""DraftKings"",""consensus_odds"":""760"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+900 | FanDuel:+820 | Caesars:+700 | BetMGM:+675"",""raw_books_seen"":""DraftKings:+900 | FanDuel:+820 | Caesars:+700 | BetMGM:+675 | DraftKings:+900"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,0,MATCH,49.2,84,10.4,170,broken clouds,Roof controlled,T-Mobile Park,1,ROOF_OR_RETRACTABLE,,0.0,NO_MATCH,UPCOMING,Seattle Mariners,probable,8,47.7,3.21,1.01,3.47,8.82,3.79,9.44,1.70,1.51,30.33,AVOID,30.33,MATCH,T-Mobile Park,T-Mobile Park,Seattle Mariners,45.00,45.00,45.00,NEUTRAL,Slight suppressor,MATCH
60,2026-05-15,2026,Henry Davis,,Pittsburgh Pirates,Philadelphia Phillies,Philadelphia Phillies @ Pittsburgh Pirates,823384,2026-05-15T22:40:00Z,Scheduled,PNC Park,home,1,Aaron Nola,Aaron Nola,Aaron Nola,605400,R,Aaron Nola,605400,Braxton Ashcraft,677952,900,BetMGM,10.00,41.30,missing,,,,,,,Pittsburgh Pirates,Philadelphia Phillies @ Pittsburgh Pirates,"{""player"":""Henry Davis"",""player_key"":""henry davis"",""team"":""Pittsburgh Pirates"",""team_key"":""pittsburgh pirates"",""game"":""Philadelphia Phillies @ Pittsburgh Pirates"",""game_key"":""philadelphia phillies @ pittsburgh pirates"",""market"":""HR"",""line"":""0.5"",""odds"":""900"",""book"":""BetMGM"",""consensus_odds"":""785"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+900 | DraftKings:+810 | FanDuel:+760 | Caesars:+750"",""raw_books_seen"":""BetMGM:+900 | DraftKings:+810 | FanDuel:+760 | Caesars:+750 | BetMGM:+900"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,-1,MATCH,43.0,82,6.9,310,clear sky,Mild suppress,PNC Park,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Philadelphia Phillies,probable,8,42.0,5.14,1.48,4.57,8.63,5.28,9.43,3.21,1.50,66.56,LIVE,66.56,MATCH,PNC Park,PNC Park,Pittsburgh Pirates,39.00,39.00,39.00,SUPPRESSOR,HR suppressor,MATCH
61,2026-05-15,2026,Ha-Seong Kim,,Atlanta Braves,Boston Red Sox,Boston Red Sox @ Atlanta Braves,824925,2026-05-15T23:15:00Z,Scheduled,Truist Park,home,1,Connelly Early,Connelly Early,Connelly Early,813349,L,Connelly Early,813349,Spencer Strider,675911,900,BetMGM,10.00,41.30,missing,,,,,,,Atlanta Braves,Boston Red Sox @ Atlanta Braves,"{""player"":""Ha-Seong Kim"",""player_key"":""ha seong kim"",""team"":""Atlanta Braves"",""team_key"":""atlanta braves"",""game"":""Boston Red Sox @ Atlanta Braves"",""game_key"":""boston red sox @ atlanta braves"",""market"":""HR"",""line"":""0.5"",""odds"":""900"",""book"":""BetMGM"",""consensus_odds"":""830"",""trusted_books_count"":""4"",""trusted_books"":""BetMGM:+900 | DraftKings:+840 | FanDuel:+820 | Caesars:+750"",""raw_books_seen"":""BetMGM:+900 | DraftKings:+840 | FanDuel:+820 | Caesars:+750"",""removed_outliers"":""0"",""odds_quality"":""CLEAN_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,-2,MATCH,47.7,83,3.4,40,clear sky,Mild suppress,Truist Park,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Boston Red Sox,probable,8,42.7,3.16,1.22,4.58,7.85,3.57,8.23,3.80,1.05,41.24,NEUTRAL,41.24,MATCH,Truist Park,Truist Park,Atlanta Braves,58.00,58.00,58.00,SLIGHT_BOOST,Slight HR boost,MATCH
62,2026-05-15,2026,Marcell Ozuna,,Pittsburgh Pirates,Philadelphia Phillies,Philadelphia Phillies @ Pittsburgh Pirates,823384,2026-05-15T22:40:00Z,Scheduled,PNC Park,home,1,Aaron Nola,Aaron Nola,Aaron Nola,605400,R,Aaron Nola,605400,Braxton Ashcraft,677952,880,FanDuel,10.20,41.21,missing,,,,,,,Pittsburgh Pirates,Philadelphia Phillies @ Pittsburgh Pirates,"{""player"":""Marcell Ozuna"",""player_key"":""marcell ozuna"",""team"":""Pittsburgh Pirates"",""team_key"":""pittsburgh pirates"",""game"":""Philadelphia Phillies @ Pittsburgh Pirates"",""game_key"":""philadelphia phillies @ pittsburgh pirates"",""market"":""HR"",""line"":""0.5"",""odds"":""880"",""book"":""FanDuel"",""consensus_odds"":""775"",""trusted_books_count"":""4"",""trusted_books"":""FanDuel:+880 | DraftKings:+850 | Caesars:+700 | BetMGM:+550"",""raw_books_seen"":""FanDuel:+880 | DraftKings:+850 | Caesars:+700 | BetMGM:+550 | FanDuel:+880"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,-1,MATCH,43.0,82,6.9,310,clear sky,Mild suppress,PNC Park,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Philadelphia Phillies,probable,8,42.0,5.14,1.48,4.57,8.63,5.28,9.43,3.21,1.50,66.56,LIVE,66.56,MATCH,PNC Park,PNC Park,Pittsburgh Pirates,39.00,39.00,39.00,SUPPRESSOR,HR suppressor,MATCH
63,2026-05-15,2026,Michael Harris II,,Atlanta Braves,Boston Red Sox,Boston Red Sox @ Atlanta Braves,824925,2026-05-15T23:15:00Z,Scheduled,Truist Park,home,1,Connelly Early,Connelly Early,Connelly Early,813349,L,Connelly Early,813349,Spencer Strider,675911,880,DraftKings,10.20,41.21,missing,,,,,,,Atlanta Braves,Boston Red Sox @ Atlanta Braves,"{""player"":""Michael Harris II"",""player_key"":""michael harris"",""team"":""Atlanta Braves"",""team_key"":""atlanta braves"",""game"":""Boston Red Sox @ Atlanta Braves"",""game_key"":""boston red sox @ atlanta braves"",""market"":""HR"",""line"":""0.5"",""odds"":""880"",""book"":""DraftKings"",""consensus_odds"":""785"",""trusted_books_count"":""4"",""trusted_books"":""DraftKings:+880 | FanDuel:+820 | Caesars:+750 | BetMGM:+700"",""raw_books_seen"":""DraftKings:+880 | FanDuel:+820 | Caesars:+750 | BetMGM:+700 | DraftKings:+880"",""removed_outliers"":""1"",""odds_quality"":""CLEANED_CONSENSUS"",""source_file"":""sgo_best_lines.csv""}",NO_MATCH,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,NO_MATCH,-2,MATCH,47.7,83,3.4,40,clear sky,Mild suppress,Truist Park,0,OPEN_AIR,,0.0,NO_MATCH,UPCOMING,Boston Red Sox,probable,8,42.7,3.16,1.22,4.58,7.85,3.57,8.23,3.80,1.05,41.24,NEUTRAL,41.24,MATCH,Truist Park,Truist Park,Atlanta Braves,58.00,58.00,58.00,SLIGHT_BOOST,Slight HR boost,MATCH
